STATE__,BGN_DATE,BGN_TIME,TIME_ZONE,COUNTY,COUNTYNAME,STATE,EVTYPE,BGN_RANGE,BGN_AZI,BGN_LOCATI,END_DATE,END_TIME,COUNTY_END,COUNTYENDN,END_RANGE,END_AZI,END_LOCATI,LENGTH,WIDTH,F,MAG,FATALITIES,INJURIES,PROPDMG,PROPDMGEXP,CROPDMG,CROPDMGEXP,WFO,STATEOFFIC,ZONENAMES,LATITUDE,LONGITUDE,LATITUDE_E,LONGITUDE_,REMARKS,REFNUM
1,12/6/1953 0:00:00,800,CST,67,HENRY,AL,TORNADO,0,,,,,0,,0,,,2,33,2,0,0,1,25,K,0,,,,,3122,8516,0,0,,42
1,2/28/1954 0:00:00,200,CST,21,CHILTON,AL,TORNADO,0,,,,,0,,0,,,12.5,167,1,0,0,0,2.5,K,0,,,,,3255,8649,3302,8639,,43
1,3/13/1954 0:00:00,2040,CST,113,RUSSELL,AL,TORNADO,0,,,,,0,,0,,,1.9,880,3,0,0,0,25,K,0,,,,,3220,8502,3221,8501,,44
1,3/29/1954 0:00:00,1430,CST,67,HENRY,AL,TORNADO,0,,,,,0,,0,,,2.5,100,2,0,0,0,25,K,0,,,,,3122,8517,0,0,,45
1,4/16/1954 0:00:00,800,CST,31,COFFEE,AL,TORNADO,0,,,,,0,,0,,,1.3,100,2,0,0,0,0.03,K,0,,,,,3119,8549,3120,8548,,46
1,4/16/1954 0:00:00,800,CST,45,DALE,AL,TORNADO,0,,,,,0,,0,,,16,100,2,0,0,1,25,K,0,,,,,3120,8548,3127,8534,,47
1,12/5/1954 0:00:00,1200,CST,81,LEE,AL,TORNADO,0,,,,,0,,0,,,19.4,100,3,0,0,4,250,K,0,,,,,3241,8525,3240,8505,,48
1,12/5/1954 0:00:00,1330,CST,15,CALHOUN,AL,TORNADO,0,,,,,0,,0,,,24.7,100,3,0,0,26,250,K,0,,,,,3347,8600,3355,8536,,49
1,12/5/1954 0:00:00,1345,CST,5,BARBOUR,AL,TORNADO,0,,,,,0,,0,,,17.5,100,2,0,0,3,2.5,K,0,,,,,3156,8523,3156,8505,,50
1,12/5/1954 0:00:00,1600,CST,109,PIKE,AL,TORNADO,0,,,,,0,,0,,,1.5,83,1,0,0,2,2.5,K,0,,,,,3153,8604,0,0,,51
1,12/5/1954 0:00:00,1600,CST,113,RUSSELL,AL,TORNADO,0,,,,,0,,0,,,0,33,2,0,0,0,25,K,0,,,,,3227,8517,0,0,,52
1,3/21/1955 0:00:00,1230,CST,33,COLBERT,AL,TORNADO,0,,,,,0,,0,,,5.4,200,2,0,0,1,25,K,0,,,,,3442,8806,3444,8801,,53
1,3/21/1955 0:00:00,1800,CST,73,JEFFERSON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3335,8647,0,0,,54
1,3/25/1955 0:00:00,1610,CST,103,MORGAN,AL,HAIL,0,,,,,0,,0,,,0,0,,75,0,0,0,,0,,,,,3435,8700,0,0,,55
1,3/25/1955 0:00:00,1700,CST,83,LIMESTONE,AL,HAIL,0,,,,,0,,0,,,0,0,,200,0,0,0,,0,,,,,3442,8654,0,0,,56
1,4/6/1955 0:00:00,600,CST,73,JEFFERSON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3323,8700,0,0,,57
1,4/6/1955 0:00:00,1730,CST,57,FAYETTE,AL,HAIL,0,,,,,0,,0,,,0,0,,100,0,0,0,,0,,,,,3342,8735,0,0,,58
1,4/6/1955 0:00:00,1816,CST,9,BLOUNT,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3400,8617,0,0,,59
1,4/6/1955 0:00:00,1830,CST,63,GREENE,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3253,8754,0,0,,60
1,4/6/1955 0:00:00,1845,CST,73,JEFFERSON,AL,HAIL,0,,,,,0,,0,,,0,0,,175,0,0,0,,0,,,,,3323,8700,0,0,,61
1,4/6/1955 0:00:00,1930,CST,21,CHILTON,AL,HAIL,0,,,,,0,,0,,,0,0,,275,0,0,0,,0,,,,,3247,8641,0,0,,62
1,4/6/1955 0:00:00,1940,CST,123,TALLAPOOSA,AL,HAIL,0,,,,,0,,0,,,0,0,,75,0,0,0,,0,,,,,3300,8554,0,0,,63
1,4/13/1955 0:00:00,800,CST,63,GREENE,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3253,8754,0,0,,64
1,4/13/1955 0:00:00,1330,CST,33,COLBERT,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3442,8735,0,0,,65
1,4/13/1955 0:00:00,1730,CST,57,FAYETTE,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3342,8747,0,0,,66
1,4/13/1955 0:00:00,1930,CST,117,SHELBY,AL,HAIL,0,,,,,0,,0,,,0,0,,200,0,0,0,,0,,,,,3312,8635,0,0,,67
1,4/21/1955 0:00:00,810,CST,47,DALLAS,AL,TORNADO,0,,,,,0,,0,,,1.5,50,2,0,0,1,25,K,0,,,,,3223,8701,0,0,,68
1,4/21/1955 0:00:00,830,CST,47,DALLAS,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3217,8700,0,0,,69
1,4/24/1955 0:00:00,545,CST,103,MORGAN,AL,TORNADO,0,,,,,0,,0,,,8.6,200,4,0,5,20,2.5,M,0,,,,,3421,8703,3422,8654,,70
1,5/24/1955 0:00:00,1430,CST,21,CHILTON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3247,8635,0,0,,71
1,5/29/1955 0:00:00,340,CST,125,TUSCALOOSA,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,60,0,0,0,,0,,,,,3312,8735,0,0,,72
1,6/10/1955 0:00:00,1500,CST,21,CHILTON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3300,8647,0,0,,73
1,7/19/1955 0:00:00,1330,CST,3,BALDWIN,AL,HAIL,0,,,,,0,,0,,,0,0,,75,0,0,0,,0,,,,,3030,8754,0,0,,74
1,7/28/1955 0:00:00,1500,CST,73,JEFFERSON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,52,0,0,0,,0,,,,,3335,8647,0,0,,75
1,10/16/1955 0:00:00,800,CST,45,DALE,AL,TORNADO,0,,,,,0,,0,,,16,100,,0,0,0,2.5,K,0,,,,,3120,8548,3127,8534,,76
1,10/16/1955 0:00:00,1805,CST,31,COFFEE,AL,TORNADO,0,,,,,0,,0,,,1.3,167,,0,0,0,2.5,K,0,,,,,3119,8549,3120,8548,,77
1,10/16/1955 0:00:00,1815,CST,31,COFFEE,AL,TORNADO,0,,,,,0,,0,,,14,167,1,0,0,0,25,K,0,,,,,3121,8601,3119,8547,,78
1,10/16/1955 0:00:00,1840,CST,31,COFFEE,AL,TORNADO,0,,,,,0,,0,,,1.9,100,2,0,0,0,2.5,M,0,,,,,3119,8550,3119,8548,,79
1,10/16/1955 0:00:00,1840,CST,45,DALE,AL,TORNADO,0,,,,,0,,0,,,14.5,100,2,0,0,5,2.5,M,0,,,,,3119,8548,3125,8535,,80
1,10/28/1955 0:00:00,1640,CST,73,JEFFERSON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3335,8647,0,0,,81
1,10/28/1955 0:00:00,1645,CST,117,SHELBY,AL,HAIL,0,,,,,0,,0,,,0,0,,200,0,0,0,,0,,,,,3317,8647,0,0,,82
1,2/17/1956 0:00:00,2030,CST,33,COLBERT,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,67,0,0,0,,0,,,,,3442,8730,0,0,,83
1,2/17/1956 0:00:00,2200,CST,103,MORGAN,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3430,8641,0,0,,84
1,2/17/1956 0:00:00,2200,CST,89,MADISON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3435,8641,0,0,,85
1,2/17/1956 0:00:00,2200,CST,33,COLBERT,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3442,8747,0,0,,86
1,2/18/1956 0:00:00,15,CST,71,JACKSON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3453,8541,0,0,,87
1,3/7/1956 0:00:00,550,CST,127,WALKER,AL,HAIL,0,,,,,0,,0,,,0,0,,250,0,0,0,,0,,,,,3342,8711,0,0,,88
1,3/7/1956 0:00:00,1700,CST,49,DEKALB,AL,HAIL,0,,,,,0,,0,,,0,0,,200,0,0,0,,0,,,,,3417,8554,0,0,,89
1,3/16/1956 0:00:00,530,CST,61,GENEVA,AL,TORNADO,0,,,,,0,,0,,,11.9,20,1,0,0,0,25,K,0,,,,,3112,8530,3111,8518,,90
1,4/3/1956 0:00:00,2015,CST,33,COLBERT,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3447,8800,0,0,,91
1,4/15/1956 0:00:00,530,CST,119,SUMTER,AL,HAIL,0,,,,,0,,0,,,0,0,,200,0,0,0,,0,,,,,3242,8811,0,0,,92
1,4/15/1956 0:00:00,730,CST,133,WINSTON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3412,8735,0,0,,93
1,4/15/1956 0:00:00,1500,CST,73,JEFFERSON,AL,TORNADO,0,,,,,0,,0,,,21.3,200,4,0,25,200,2.5,M,0,,,,,3330,8658,3338,8638,,94
1,4/15/1956 0:00:00,1520,CST,73,JEFFERSON,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,60,0,0,0,,0,,,,,3335,8647,0,0,,95
1,4/15/1956 0:00:00,1700,CST,7,BIBB,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3300,8705,0,0,,96
1,4/15/1956 0:00:00,1900,CST,57,FAYETTE,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,0,,,,,3335,8547,0,0,,97
1,5/2/1956 0:00:00,1600,CST,107,PICKENS,AL,TSTM WIND,0,,,,,0,,0,,,0,0,,0,0,0,0,,2,K,,,,3323,8800,0,0,,98
1,5/3/1956 0:00:00,440,CST,39,COVINGTON,AL,TORNADO,0,,,,,0,,0,,,3.8,83,3,0,0,2,25,K,1,,,,,3136,8633,3137,8630,,99
